,Time,Names,ConfirmedCases,Recovered,Deaths,Population,LandArea,MedianAge,German
341,2020-03-23,MAURITIUS,28,0,0,1271768,2030,37,Mauritius
342,2020-03-23,MAYOTTE,11,0,0,272815,375,20,Mayotte
343,2020-03-23,MEXICO,316,35,35,128932753,1943950,29,Mexiko
344,2020-03-23,MICRONESIA (FED. STATES OF),0,0,0,115023,700,24,Micronesia (Fed. States Of)
345,2020-03-23,MONGOLIA,10,0,0,3278290,1553560,28,Mongolei
346,2020-03-23,MONTENEGRO,22,0,0,628066,13450,39,Montenegro
347,2020-03-23,MOROCCO,115,3,3,36910560,446300,30,Marokko
348,2020-03-23,MOZAMBIQUE,1,0,0,31255435,786380,18,Mozambique
349,2020-03-23,MYANMAR,0,0,0,54409800,653290,29,Myanmar
350,2020-03-23,NAMIBIA,3,0,0,2540905,823290,22,Namibia
351,2020-03-23,NEPAL,2,1,1,29136808,143350,25,Nepal
352,2020-03-23,NETHERLANDS,4217,2,2,17134872,33720,43,Niederlande
353,2020-03-23,NEW CALEDONIA,4,0,0,285498,18280,34,Neu-Kaledonien
354,2020-03-23,NEW ZEALAND,102,0,0,4822233,263310,38,Neuseeland
355,2020-03-23,NICARAGUA,2,0,0,6624554,120340,26,Nicaragua
356,2020-03-23,NIGER,2,0,0,24206644,1266700,15,Niger
357,2020-03-23,NIGERIA,30,2,2,206139589,910770,18,Nigeria
358,2020-03-23,N. MACEDONIA,115,1,1,2083374,25220,39,N. Mazedonien
359,2020-03-23,NORWAY,2385,6,6,5421241,365268,40,Norwegen
360,2020-03-23,OMAN,55,17,17,5106626,309500,31,Oman
